"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"M&amp;M","EQ","26-Aug-2020","        609.35","        613.00","        625.50","        610.50","        615.75","        613.35","        619.04","    5814797","          3599606888.90","      84966"
"M&amp;M","EQ","27-Aug-2020","        613.35","        619.15","        639.30","        615.60","        639.00","        636.75","        630.56","    7637643","          4815964671.05","     110194"
"M&amp;M","EQ","28-Aug-2020","        636.75","        642.25","        647.00","        629.35","        630.15","        631.40","        637.71","    7811624","          4981516291.65","     121417"
"M&amp;M","EQ","31-Aug-2020","        631.40","        637.00","        640.50","        602.10","        605.55","        606.90","        617.30","    5012806","          3094383668.25","      93057"
"M&amp;M","EQ","01-Sep-2020","        606.90","        610.00","        621.55","        605.00","        609.10","        607.55","        613.24","    5572232","          3417107077.60","      70542"
"M&amp;M","EQ","02-Sep-2020","        607.55","        608.00","        645.90","        602.05","        644.05","        642.75","        626.54","    7887162","          4941614603.05","     117533"
"M&amp;M","EQ","03-Sep-2020","        642.75","        640.50","        656.00","        632.00","        642.85","        644.65","        644.70","    9194835","          5927932764.50","     117310"
"M&amp;M","EQ","04-Sep-2020","        644.65","        629.00","        649.80","        626.30","        631.70","        632.00","        639.93","    5889149","          3768620284.95","     100147"
"M&amp;M","EQ","07-Sep-2020","        632.00","        632.30","        633.85","        605.30","        610.30","        610.45","        612.86","    9388041","          5753551764.10","     140059"
"M&amp;M","EQ","08-Sep-2020","        610.45","        611.00","        624.50","        605.30","        608.20","        608.60","        614.86","    6826136","          4197092324.10","      92158"
"M&amp;M","EQ","09-Sep-2020","        608.60","        606.80","        617.00","        597.40","        613.95","        613.90","        608.78","    6590533","          4012171923.35","      87678"
"M&amp;M","EQ","10-Sep-2020","        613.90","        619.50","        623.90","        612.90","        613.90","        615.45","        617.94","    4699862","          2904216540.55","      67284"
"M&amp;M","EQ","11-Sep-2020","        615.45","        614.90","        621.90","        612.10","        613.00","        614.25","        616.90","    2838777","          1751240734.20","      58874"
"M&amp;M","EQ","14-Sep-2020","        614.25","        615.00","        629.40","        611.90","        614.80","        615.30","        621.08","    4921204","          3056471765.20","      98372"
"M&amp;M","EQ","15-Sep-2020","        615.30","        619.25","        624.00","        611.95","        614.35","        613.45","        616.45","    3805649","          2345981228.30","      42665"
"M&amp;M","EQ","16-Sep-2020","        613.45","        616.00","        649.80","        616.00","        638.05","        639.45","        640.41","   18993400","         12163532038.70","     245820"
"M&amp;M","EQ","17-Sep-2020","        639.45","        631.00","        643.50","        627.65","        636.95","        636.80","        635.82","    6363970","          4046332245.40","     106350"
"M&amp;M","EQ","18-Sep-2020","        636.80","        640.00","        659.40","        634.55","        654.95","        654.15","        651.13","   13518215","          8802163977.15","     146621"
"M&amp;M","EQ","21-Sep-2020","        654.15","        657.00","        666.60","        615.45","        619.95","        622.45","        645.06","    9301969","          6000298419.75","     131548"
"M&amp;M","EQ","22-Sep-2020","        622.45","        622.45","        624.25","        603.00","        617.50","        615.80","        613.17","    5369370","          3292346870.10","      80961"
"M&amp;M","EQ","23-Sep-2020","        615.80","        622.05","        623.35","        603.25","        611.05","        612.60","        612.90","    4116751","          2523137647.05","      53632"
"M&amp;M","EQ","24-Sep-2020","        612.60","        605.00","        606.40","        567.50","        582.00","        575.10","        583.61","    8991893","          5247745041.40","     143913"
"M&amp;M","EQ","25-Sep-2020","        575.10","        583.90","        595.45","        576.60","        592.10","        592.30","        586.25","    5415792","          3174985893.90","      84090"
"M&amp;M","EQ","28-Sep-2020","        592.30","        595.00","        618.00","        593.10","        614.20","        615.25","        608.27","    5494528","          3342164789.35","      82797"
"M&amp;M","EQ","29-Sep-2020","        615.25","        615.25","        626.50","        603.10","        611.85","        613.20","        612.92","    5747565","          3522817218.80","      73435"
"M&amp;M","EQ","30-Sep-2020","        613.20","        615.95","        623.00","        605.55","        606.65","        607.90","        613.30","    4990827","          3060896358.50","      75366"
"M&amp;M","EQ","01-Oct-2020","        607.90","        614.70","        621.90","        608.15","        609.10","        610.15","        614.05","    3842331","          2359397971.00","      52876"
"M&amp;M","EQ","05-Oct-2020","        610.15","        615.00","        616.25","        597.10","        608.35","        607.00","        603.38","    5977265","          3606559318.45","      77122"
"M&amp;M","EQ","06-Oct-2020","        607.00","        611.60","        633.00","        609.00","        628.50","        627.40","        626.86","    9071955","          5686805331.90","     110722"
"M&amp;M","EQ","07-Oct-2020","        627.40","        629.90","        636.90","        625.00","        631.50","        631.60","        631.44","    6086867","          3843518493.70","      82756"
"M&amp;M","EQ","08-Oct-2020","        631.60","        634.15","        640.95","        627.60","        635.00","        634.15","        633.49","    4683786","          2967144202.90","      67100"
"M&amp;M","EQ","09-Oct-2020","        634.15","        634.15","        647.45","        628.30","        633.00","        633.20","        638.14","    4972965","          3173426450.25","      81081"
"M&amp;M","EQ","12-Oct-2020","        633.20","        637.90","        639.70","        630.00","        634.00","        634.40","        634.71","    3247642","          2061322702.10","      45024"
"M&amp;M","EQ","13-Oct-2020","        634.40","        634.35","        642.00","        624.35","        626.00","        627.90","        634.12","    3769229","          2390145158.10","      56764"
"M&amp;M","EQ","14-Oct-2020","        627.90","        623.40","        627.80","        616.30","        622.80","        623.85","        622.20","    2776984","          1727848430.25","      48325"
"M&amp;M","EQ","15-Oct-2020","        623.85","        620.95","        633.00","        614.10","        615.20","        617.30","        625.04","    3795307","          2372203468.75","      52185"
"M&amp;M","EQ","16-Oct-2020","        617.30","        617.50","        623.95","        602.05","        607.00","        606.65","        612.16","    4274914","          2616916099.90","      58622"
"M&amp;M","EQ","19-Oct-2020","        606.65","        612.70","        614.50","        595.20","        598.05","        597.45","        602.32","    3646303","          2196237916.85","      61828"
"M&amp;M","EQ","20-Oct-2020","        597.45","        597.40","        609.00","        590.30","        602.70","        602.25","        602.47","    4377774","          2637455800.35","      63171"
"M&amp;M","EQ","21-Oct-2020","        602.25","        606.90","        610.80","        592.20","        601.50","        600.85","        602.45","    3684794","          2219892487.10","      67840"
"M&amp;M","EQ","22-Oct-2020","        600.85","        599.80","        606.95","        594.10","        605.00","        604.35","        600.90","    3818892","          2294773234.90","      65253"
